OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
BOTU_3,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae,unidentified,BOTU_3_Nitrososphaeraceae
BOTU_13,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae,unidentified,BOTU_13_Nitrososphaeraceae
BOTU_11,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter,unidentified,BOTU_11_Terrabacter
BOTU_1,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,unidentified,unidentified,BOTU_1_Micrococcaceae
BOTU_14,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,unidentified,BOTU_14_Ralstonia
BOTU_4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unidentified,BOTU_4_Bradyrhizobium
BOTU_12,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,uncultured_bacterium,BOTU_12_uncultured_bacterium
BOTU_8,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,unidentified,BOTU_8_Burkholderia-Caballeronia-Paraburkholderia
BOTU_9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,unidentified,BOTU_9_Methylobacterium-Methylorubrum
BOTU_5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,unidentified,BOTU_5_Escherichia-Shigella
BOTU_2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unidentified,BOTU_2_Bacillus
